1,精神分裂症,Schizophrenia        
2,脑血管所致精神障碍,Mental disorders due to vascular disease   
3,癫痫,Epilepsy        
4,癔症,Hysteria        
5,焦虑,Anxiety        
6,焦虑障碍,Anxiety disorder       
7,焦虑性神经症,Anxiety Neurosis       
8,器质性焦虑障碍,Organic Anxiety disorder      
9,情绪问题,Emotional problem       
10,发育障碍,Developmental Disabilities       
11,特指进食障碍,Specific To Eating Disorder     
12,情感问题,Emotional Problems       
13,情感障碍,Affective Disorder       
14,疑病障碍,Hypochondriacal disorder       
15,双相情感障碍,aaaaaaaa     
16,双向情感障碍,bbbbbbbbb 
17,双相性情感障碍,Bipolar Affective Disorder      
18,双相情感障碍，目前为伴有精神病性症状的重度发作,Bipolar Affective Disorder severe attack with psychotic symptoms
19,双相情感障碍，目前为不伴有精神病性症状的躁狂发作,Bipolar Affective Disorder manic episode without psychotic symptoms
20,分裂性情感障碍,Schizoaffective Disorder       
21,恶劣心境,Dysthymia        
22,躯体形式障碍,Somatoform Disorders       
23,躯体化障碍,Somatization Disorder       
24,家庭关系问题,Family Relations Problem      
25,惊恐发作,Panic Attacks       
26,精神障碍,Mental Disorders       
27,躯体疾病所致精神障碍,Mental Disorders Due To Physical Diseases   
28,轻躁狂,Manic        
29,癔症性精神病,Hysterical Psychosis       
30,适应障碍,Adjustment Disorder       
31,强迫症,Obsessive-Compulsive Disorder       
32,强迫性思维,Obsessional Thinking       
33,强迫性障碍,Obsessive-Compulsive Disorder       
34,强迫性神经症,Obsessive neurosis       
35,睡行症,Sleep Walking       
36,抑郁症,Depression        
37,焦虑性抑郁症,Anxiety depression       
38,抑郁发作,Depressive Episode       
39,产后抑郁症,Postpartum Depression       
40,中度抑郁发作,Moderate Depressive Episode      
41,轻度抑郁发作,Mild Depressive Episode      
42,重度抑郁发作,Severe Depressive Episode      
43,伴有精神病性症状中度抑郁发作,Moderate Depression Episode with psychotic symptoms   
44,伴有精神病性症状的重度抑郁,Severe Depression Episode with psychotic symptoms   
45,复发性抑郁障碍,Recurrent Depressive Disorder      
46,混合型焦虑和抑郁障碍,Mixed Anxiety And Depression Disorder    
47,更年期忧郁症,Involutional melancholia       
48,睡眠呼吸暂停,Sleep Apnea       
