Age,Sex,Sleep quality,Reliability,Psychoticism,Nervousness,Character
65,1,2,57.24,44.2,61.17,37.7
63,1,1,48.45,40.99,41.73,35.35
30,1,3,52.42,40.48,67.9,28.41
67,1,1,54.31,37.79,52.53,42.39
19,1,3,36.85,44.05,77.89,48.48
56,1,3,47.89,54.05,59.29,64.56
71,1,3,30.85,63.43,65.49,54.13
20,1,3,36.85,49.88,77.89,32.39
45,1,2,60.75,47.47,31.75,55.13
43,1,2,57.75,47.47,56.81,40.81
25,1,3,43.57,53.22,74.54,30.82
50,1,2,53.24,45.12,38.41,32.54
44,1,2,51.74,40.65,69.33,43.2
44,1,2,33.72,40.65,54.72,33.65
46,1,2,48.74,44.06,65.16,45.58
38,1,2,53.48,45.74,68.23,64.21
55,1,3,53.24,48.1,57.2,47.32
60,1,3,53.24,39.17,78.08,54.7
39,1,2,44.25,45.74,74.56,52.39
54,1,1,61.26,39.17,57.2,44.85
61,1,3,58.58,39.17,57.2,44.85
26,1,1,43.57,40.48,61.26,54.98
23,1,3,19.97,53.22,41.35,57.39
19,1,3,39.41,70.29,73.34,39.29
53,1,3,63.93,33.21,46.76,64.56
34,1,2,25.78,51.24,66.12,59.48
29,1,1,34.72,37.29,50.2,57.39
25,1,2,55.37,43.66,54.62,52.56
41,1,0,62.71,45.74,55.57,38.2
35,1,2,59.63,42.99,51.35,64.21
59,1,2,63.93,39.17,30.06,62.09
77,1,3,51.38,50.61,46.05,47.09
75,1,3,54.31,63.43,52.53,54.13
54,1,3,61.26,39.17,57.2,47.32
63,1,1,54.31,50.61,43.89,51.78
38,1,1,47.32,67.72,42.91,52.39
48,1,0,21.71,71.37,77.68,74.22
42,1,2,24.71,54.3,71.42,40.81
20,1,3,49.64,35.31,68.8,27.79
51,1,2,66.76,47.47,54.72,55.13
32,1,1,44.25,48.49,68.23,40.57
54,1,2,58.58,60,75.99,44.85
38,1,3,35.02,45.74,51.35,57.12
34,1,2,25.78,56.73,64.01,57.12
57,1,3,53.24,45.12,55.11,74.41
56,1,3,66.6,39.17,50.94,39.93
40,1,2,65.78,37.5,55.57,40.57
31,1,2,47.32,51.24,36.58,45.3
33,1,1,31.94,51.24,66.12,47.66
56,1,0,58.58,42.14,50.94,54.7
31,1,2,50.4,45.74,70.34,61.84
26,1,2,37.67,43.66,52.41,45.31
58,1,0,63.93,39.17,63.47,47.32
64,1,1,57.24,47.4,63.33,56.48
20,1,1,36.85,55.71,68.8,73.77
38,1,3,56.55,37.5,49.24,33.48
63,1,1,63.11,34.58,48.21,65.87
53,1,3,55.91,42.14,59.29,44.85
52,1,2,61.26,42.14,57.2,71.95
60,1,1,42.54,48.1,71.82,39.93
43,1,2,30.72,44.06,56.81,59.9
30,1,2,49.47,53.22,61.26,42.9
26,1,1,28.82,59.59,74.54,59.81
30,1,3,43.57,72.32,43.56,35.65
56,1,2,47.89,39.17,42.59,59.63
49,1,1,57.75,44.06,48.46,62.29
35,1,2,59.63,34.75,47.13,47.66
57,1,2,50.56,51.07,42.59,39.93
23,1,2,28.82,46.85,61.26,33.24
69,1,1,57.24,37.79,43.89,40.05
77,1,2,54.31,44.2,52.53,35.35
56,1,2,66.6,39.17,69.73,42.39
21,1,3,39.41,55.71,66.52,36.99
43,1,2,57.75,40.65,65.16,33.65
28,1,3,46.52,56.4,67.9,74.3
36,1,3,28.86,51.24,74.56,28.75
35,1,1,31.94,40.25,70.34,45.3
30,1,2,34.72,53.22,70.11,38.07
29,1,3,40.62,50.03,52.41,52.56
30,1,2,22.92,50.03,76.75,74.3
44,1,2,45.74,54.3,67.24,45.58
53,1,3,58.58,39.17,44.68,76.87
48,1,3,42.73,47.47,67.24,45.58
55,1,3,63.93,39.17,32.15,44.85
63,1,2,57.24,44.2,35.25,51.78
57,1,1,45.21,45.12,34.24,37.46
40,1,2,65.78,40.25,34.47,61.84
43,1,3,57.75,50.89,33.84,43.2
60,1,3,63.93,45.12,65.55,52.24
72,1,1,60.18,40.99,39.57,63.52
60,1,3,39.87,48.1,50.94,57.17
45,1,3,57.75,33.82,52.63,43.2
54,1,3,45.21,48.1,44.68,42.39
37,1,3,62.71,34.75,59.79,35.84
28,1,3,40.62,56.4,61.26,50.14
47,1,2,54.74,50.89,44.28,47.97
52,1,3,50.56,45.12,67.64,67.02
19,1,1,59.87,44.05,48.34,66.87
44,1,3,48.74,50.89,73.51,36.04
32,1,1,59.63,42.99,47.13,45.3
38,1,2,41.17,37.5,64.01,64.21
31,1,2,34.72,30.92,70.11,38.07
48,1,3,60.75,40.65,54.72,47.97
50,1,1,21.71,47.47,60.98,40.81
48,1,2,48.74,47.47,77.68,62.29
39,1,1,53.48,42.99,68.23,33.48
50,1,2,48.74,44.06,65.16,50.36
47,1,3,63.75,44.06,63.07,67.06
28,1,2,49.47,46.85,70.11,33.24
43,1,3,45.74,47.47,48.46,62.29
63,1,2,22.05,63.43,56.85,54.13
70,1,3,51.38,53.81,50.37,54.13
60,1,2,63.93,36.19,42.59,37.46
67,1,3,57.24,47.4,41.73,40.05
59,1,2,61.26,33.21,63.47,42.39
45,1,1,24.71,64.54,65.16,71.84
44,1,3,48.74,33.82,67.24,38.42
22,1,2,31.77,43.66,67.9,30.82
34,1,2,59.63,42.99,68.23,57.12
22,1,0,14.07,56.4,72.32,64.64
55,1,3,55.91,51.07,42.59,39.93
46,1,2,51.74,47.47,60.98,52.74
44,1,3,57.75,50.89,73.51,36.04
27,1,3,34.72,37.29,65.69,47.73
53,1,3,29.17,62.98,59.29,57.17
43,1,3,57.75,40.65,65.16,43.2
26,1,1,52.42,43.66,61.26,35.65
23,1,2,19.97,56.4,72.32,42.9
39,1,3,41.17,42.99,72.45,33.48
34,1,3,25.78,48.49,42.91,40.57
50,1,2,57.75,47.47,58.89,47.97
53,1,3,58.58,36.19,50.94,37.46
42,1,3,42.73,57.71,69.33,59.9
45,1,3,42.73,33.82,69.33,38.42
22,1,3,37.67,43.66,74.54,76.71
47,1,3,57.75,44.06,50.54,55.13
28,1,2,46.52,37.29,50.2,64.64
36,1,2,62.71,34.75,51.35,45.3
50,1,2,63.93,42.14,42.59,59.63
47,1,3,48.74,40.65,50.54,38.42
48,1,2,54.74,44.06,67.24,45.58
45,1,1,45.74,30.41,60.98,45.58
39,1,3,56.55,42.99,42.91,47.66
48,1,2,63.75,37.24,63.07,62.29
28,1,1,25.87,53.22,72.32,59.81
51,1,3,54.74,54.3,42.19,38.42
70,1,2,57.24,40.99,63.33,51.78
37,1,2,47.32,37.5,57.68,57.12
61,1,3,58.58,54.05,44.68,47.32
38,1,3,35.02,56.73,42.91,47.66
58,1,3,63.93,39.17,59.29,39.93
35,1,2,47.32,34.75,66.12,57.12
29,1,2,34.72,37.29,72.32,47.73
37,1,2,53.48,45.74,49.24,28.75
21,1,3,43.57,40.48,76.75,50.14
40,1,0,41.17,42.99,59.79,38.2
23,1,1,34.72,50.03,50.2,38.07
42,1,3,63.75,40.65,31.75,50.36
48,1,3,45.74,37.24,69.33,57.52
59,1,3,53.24,45.12,48.85,32.54
53,1,3,61.26,39.17,42.59,54.7
18,1,1,49.64,41.14,32.43,34.69
22,1,1,31.77,40.48,67.9,47.73
20,1,2,62.43,35.31,39.25,30.09
31,1,3,37.67,50.03,56.84,62.22
44,1,2,51.74,47.47,67.24,50.36
50,1,2,57.75,54.3,60.98,50.36
48,1,1,63.75,50.89,35.93,62.29
44,1,2,33.72,47.47,71.42,43.2
44,1,3,48.74,44.06,67.24,55.13
44,1,3,30.72,54.3,71.42,47.97
38,1,3,53.48,42.99,72.45,33.48
42,1,1,15.71,64.54,77.68,50.36
48,1,3,57.75,50.89,52.63,57.52
45,1,2,51.74,44.06,56.81,50.36
45,1,3,63.75,40.65,65.16,33.65
53,1,2,61.26,48.1,67.64,42.39
61,1,2,53.24,57.02,65.55,35
45,1,2,60.75,44.06,56.81,36.04
68,1,2,51.38,37.79,41.73,40.05
40,1,3,53.48,53.98,57.68,40.57
44,1,2,48.74,47.47,46.37,64.68
47,1,3,36.73,64.54,69.33,57.52
76,1,1,54.31,40.99,59.01,40.05
48,1,0,57.75,50.89,52.63,64.68
40,1,2,68.86,37.5,64.01,52.39
23,1,3,34.72,62.77,72.32,33.24
28,1,1,43.57,50.03,74.54,35.65
53,1,3,47.89,48.1,73.9,49.78
25,1,3,31.77,50.03,76.75,42.9
24,1,2,31.77,46.85,74.54,69.47
42,1,2,54.74,40.65,60.98,55.13
61,1,2,61.26,33.21,57.2,44.85
54,1,2,53.24,45.12,32.15,44.85
52,1,2,58.58,48.1,42.59,42.39
36,1,2,44.25,37.5,49.24,59.48
52,1,2,45.21,48.1,65.55,42.39
54,1,3,58.58,42.14,46.76,54.7
57,1,3,50.56,36.19,63.47,42.39
47,1,2,57.75,44.06,69.33,64.68
29,1,3,37.67,62.77,72.32,45.31
54,1,2,58.58,42.14,44.68,47.32
30,1,2,37.67,40.48,59.05,45.31
53,1,2,45.21,36.19,67.64,49.78
58,1,3,63.93,39.17,67.64,44.85
33,1,1,25.78,51.24,74.56,31.11
32,1,2,25.78,37.5,72.45,52.39
18,1,1,44.53,38.22,61.98,55.38
44,1,2,54.74,47.47,40.1,45.58
36,1,3,28.86,53.98,55.57,45.3
30,1,1,43.57,56.4,54.62,59.81
20,1,2,36.85,49.88,61.98,53.08
43,1,3,51.74,57.71,46.37,47.97
38,1,3,35.02,56.73,64.01,33.48
48,1,3,60.75,44.06,48.46,62.29
70,1,2,54.31,37.79,54.69,35.35
34,1,2,47.32,37.5,59.79,52.39
40,1,2,28.86,51.24,42.91,50.02
62,1,2,42.58,47.4,46.05,51.78
25,1,2,43.57,46.85,74.54,30.82
49,1,3,54.74,44.06,38.02,45.58
34,1,3,31.94,45.74,74.56,47.66
45,1,3,54.74,50.89,65.16,47.97
26,1,2,49.47,34.11,59.05,33.24
52,1,2,66.6,36.19,50.94,39.93
56,1,2,29.17,62.98,75.99,47.32
61,1,3,63.93,48.1,34.24,49.78
38,1,3,41.17,56.73,0,35.84
48,1,3,42.73,47.47,71.42,45.58
26,1,2,37.67,46.85,65.69,50.14
59,1,3,55.91,54.05,73.9,57.17
46,1,1,48.74,54.3,48.46,55.13
25,1,2,25.87,65.96,76.75,50.14
21,1,3,39.41,61.55,71.07,66.87
40,1,2,50.4,53.98,61.9,52.39
27,1,1,55.37,30.92,54.62,42.9
21,1,1,39.41,41.14,73.34,43.89
30,1,3,19.97,59.59,74.54,59.81
37,1,3,13.48,51.24,0,57.12
39,1,3,53.48,51.24,57.68,35.84
51,1,3,57.75,47.47,52.63,67.06
65,1,3,48.45,57.02,46.05,35.35
61,1,3,51.38,40.99,56.85,68.22
55,1,2,55.91,42.14,36.33,52.24
59,1,3,55.91,45.12,44.68,59.63
40,1,2,57.75,37.24,52.63,33.65
52,1,3,61.26,39.17,71.82,54.7
25,1,3,40.62,50.03,74.54,30.82
51,1,3,24.71,74.78,73.51,45.58
24,1,2,31.77,50.03,56.84,67.05
54,1,3,61.26,45.12,55.11,35
33,1,2,31.94,48.49,72.45,50.02
65,1,2,45.51,66.63,69.81,37.7
29,1,1,52.42,30.92,54.62,33.24
33,1,3,28.86,48.49,72.45,28.75
31,1,3,53.48,48.49,34.47,45.3
29,1,2,64.22,30.92,43.56,47.73
35,1,2,50.4,37.5,59.79,57.12
58,1,2,66.6,45.12,36.33,39.93
57,1,3,55.91,57.02,73.9,35
31,1,2,35.02,51.24,66.12,45.3
36,1,2,28.86,42.99,51.35,47.66
48,1,2,27.72,54.3,71.42,40.81
67,1,3,57.24,37.79,48.21,49.44
66,1,3,51.38,53.81,59.01,40.05
32,1,3,53.48,42.99,61.9,31.11
56,1,1,55.91,42.14,59.29,59.63
70,1,2,63.11,37.79,35.25,54.13
17,1,3,31.74,61.55,71.07,69.17
29,1,2,22.92,53.22,76.75,54.98
22,1,2,46.52,40.48,74.54,30.82
30,1,2,44.25,40.25,66.12,35.84
27,1,2,52.42,53.22,65.69,50.14
18,1,1,41.97,35.31,71.07,64.57
39,1,2,65.78,40.25,49.24,45.3
49,1,3,42.73,44.06,44.28,33.65
41,1,3,56.55,59.48,0,31.11
37,1,3,38.09,34.75,66.12,40.57
28,1,3,25.87,59.59,76.75,42.9
45,1,1,48.74,61.13,60.98,40.81
24,1,2,46.52,46.85,67.9,45.31
65,1,3,57.24,44.2,59.01,35.35
72,1,2,57.24,37.79,35.25,51.78
61,1,1,61.26,48.1,75.99,42.39
37,1,3,16.55,56.73,74.56,40.57
54,1,1,61.26,48.1,61.38,47.32
34,1,2,50.4,53.98,36.58,59.48
55,1,3,66.6,57.02,53.03,52.24
34,1,3,56.55,40.25,40.8,59.48
58,1,3,58.58,42.14,61.38,62.09
52,1,1,58.58,54.05,38.41,37.46
27,1,3,55.37,46.85,65.69,35.65
24,1,2,37.67,62.77,74.54,42.9
35,1,3,41.17,37.5,55.57,61.84
69,1,3,30.85,34.58,63.33,33
74,1,3,63.11,37.79,37.41,61.17
58,1,2,58.58,48.1,30.06,54.7
32,1,1,44.25,53.98,64.01,66.57
60,1,3,54.31,37.79,61.17,49.44
57,1,3,47.89,54.05,53.03,67.02
63,1,1,39.65,44.2,61.17,68.22
67,1,2,54.31,57.02,48.21,44.74
28,1,2,46.52,34.11,67.9,33.24
49,1,3,48.74,47.47,69.33,59.9
34,1,3,41.17,45.74,72.45,31.11
24,1,2,64.22,27.74,63.47,69.47
36,1,2,50.4,42.99,59.79,54.75
62,1,1,51.38,44.2,52.53,33
29,1,3,58.32,40.48,61.26,64.64
64,1,3,63.11,37.79,65.49,37.7
46,1,2,54.74,44.06,40.1,59.9
56,1,3,53.24,45.12,57.2,44.85
31,1,2,34.72,53.22,70.11,52.56
48,1,2,63.75,37.24,46.37,76.61
32,1,0,65.78,40.25,32.36,71.3
66,1,3,54.31,37.79,74.13,49.44
29,1,1,49.47,50.03,67.9,45.31
48,1,1,39.73,50.89,71.42,55.13
34,1,2,56.55,37.5,70.34,33.48
24,1,1,40.62,50.03,59.05,28.41
43,1,1,42.73,50.89,56.81,38.42
63,1,3,39.65,57.02,37.41,51.78
61,1,3,63.93,42.14,38.41,64.56
54,1,3,55.91,48.1,71.82,44.85
63,1,3,45.51,57.02,30.93,44.74
55,1,3,53.24,45.12,65.55,32.54
52,1,3,55.91,33.21,59.29,35
63,1,3,54.31,50.61,30.93,30.66
47,1,3,33.72,37.24,63.07,64.68
34,1,3,19.63,62.23,70.34,59.48
27,1,1,31.77,50.03,72.32,42.9
36,1,1,56.55,32.01,68.23,35.84
71,1,3,33.78,63.43,63.33,44.74
44,1,2,66.76,44.06,46.37,43.2
69,1,3,60.18,40.99,50.37,49.44
27,1,3,52.42,65.96,59.05,59.81
32,1,3,53.48,37.5,64.01,42.93
47,1,3,57.75,47.47,31.75,43.2
30,1,1,28.86,51.24,64.01,59.48
35,1,2,50.4,40.25,42.91,52.39
47,1,3,42.73,40.65,73.51,45.58
42,1,3,48.74,33.82,50.54,47.97
66,1,3,54.31,44.2,50.37,65.87
59,1,1,47.89,39.17,65.55,39.93
27,1,3,34.72,43.66,72.32,38.07
43,1,3,42.73,33.82,69.33,38.42
72,1,2,48.45,53.81,30.93,40.05
35,1,2,53.48,37.5,64.01,50.02
43,1,2,60.75,37.24,65.16,52.74
20,1,2,31.74,41.14,75.61,36.99
59,1,2,61.26,36.19,57.2,49.78
48,1,3,54.74,47.47,44.28,55.13
53,1,3,58.58,54.05,55.11,39.93
36,1,3,59.63,48.49,70.34,45.3
29,1,1,40.62,37.29,61.26,67.05
41,1,2,45.74,40.65,44.28,55.13
45,1,3,33.72,40.65,52.63,40.81
32,1,3,59.63,42.99,45.02,61.84
45,1,2,63.75,33.82,48.46,50.36
44,1,2,51.74,54.3,75.59,59.9
54,1,3,55.91,54.05,59.29,44.85
63,1,3,45.51,44.2,71.97,61.17
54,1,3,26.5,68.93,73.9,71.95
52,1,2,50.56,57.02,71.82,44.85
38,1,2,19.63,64.97,68.23,61.84
46,1,1,57.75,44.06,50.54,38.42
73,1,2,54.31,34.58,74.13,33
52,1,3,50.56,48.1,69.73,27.61
43,1,2,54.74,47.47,44.28,57.52
49,1,3,57.75,44.06,69.33,47.97
18,1,0,39.41,58.63,71.07,46.18
37,1,2,38.09,40.25,49.24,40.57
54,1,2,47.89,51.07,59.29,52.24
63,1,2,54.31,50.61,37.41,65.87
46,1,3,63.75,47.47,56.81,43.2
46,1,3,66.76,50.89,52.63,36.04
41,1,2,45.74,37.24,58.89,50.36
23,1,1,31.77,56.4,76.75,47.73
33,1,2,31.94,56.73,70.34,73.66
62,1,3,36.72,47.4,56.85,28.31
34,1,3,44.25,45.74,42.91,42.93
54,1,3,61.26,33.21,50.94,74.41
38,1,3,53.48,42.99,59.79,42.93
29,1,3,37.67,50.03,67.9,62.22
45,1,3,66.76,47.47,56.81,64.68
52,1,3,58.58,45.12,69.73,54.7
31,1,2,46.52,40.48,61.26,42.9
48,1,3,45.74,44.06,71.42,45.58
47,1,3,51.74,40.65,42.19,62.29
53,1,2,55.91,48.1,67.64,27.61
26,1,3,52.42,37.29,67.9,40.48
31,1,0,37.67,40.48,61.26,57.39
36,1,3,50.4,34.75,61.9,52.39
32,1,2,31.94,48.49,72.45,28.75
52,1,2,58.58,57.02,53.03,39.93
23,1,3,31.77,50.03,72.32,79.13
28,1,3,52.42,50.03,65.69,50.14
42,1,2,54.74,37.24,58.89,45.58
40,1,2,27.72,47.47,77.68,62.29
52,1,2,61.26,42.14,42.59,54.7
56,1,3,55.91,45.12,67.64,37.46
23,1,2,40.62,46.85,63.47,38.07
22,1,2,46.52,40.48,63.47,50.14
26,1,2,37.67,43.66,70.11,30.82
37,1,2,59.63,37.5,32.36,57.12
29,1,2,49.47,30.92,52.41,38.07
26,1,3,31.77,50.03,72.32,35.65
24,1,3,37.67,56.4,61.26,42.9
25,1,2,46.52,37.29,43.56,47.73
25,1,2,52.42,40.48,70.11,40.48
55,1,3,61.26,42.14,34.24,47.32
52,1,3,61.26,36.19,63.47,32.54
37,1,3,38.09,45.74,47.13,38.2
22,1,3,37.67,40.48,63.47,42.9
33,1,3,35.02,40.25,57.68,59.48
62,1,3,57.24,40.99,56.85,42.39
